wlghclg**|넘나예뻐요>< 다음에도 또 사입고 싶어요 색깔별로 소장하세요ㅜㅜㅜ
elsia**|박시한 타입이구,, 목도 짱짱해요! ㅎㅎ 제 목이 두꺼워서 그런지 여유가 없네요ㅠㅠ;입다보면 좀 늘어나서 자연스러워 지겠죠..?ㅎ옷핑크가 무슨색인가 했더니 ㅎㅎ 화사한 핑쿠핑쿠 색은 아니네요~ 물론 전 이게 더 마음에 들지요^^*어깨가 듬직한 저는 머리는 푸르고 입어야 괜찮은거 같아요~바스트에 살이 많아서ㅠㅠ 역시 박시한 옷은 여리여리해야이쁜듯..ㅎ 그래도 잘입을께요~
kira01**|색상도 너무 이쁘고 깔끔해서 매우 좋아요 무엇보다 핑크를 골랐는데 색상이 딱 맘에 드는 핑크여서 더 맘에 들었어요^^ 또한 사진 또는 중요 종이들을 끼어 넣을수 있어서 정말 실용성이 좋다 상각되었습니다!
zasx62**|진짜 이바지 제인생바지에요 ,,,,방금받아서 뜯어봤는데 길이도 너므짧아보이고 진짜 이게 들어갈까? 이생각하고 한번 입어봤는데 허벅지에서 갑자기 막히는거에요..그래서 이것도 반품해야하나 하고 조금씩 꾸겨서 입어봤는데 다입고 무릎움직이고 하니까 정말 편해요 ...이렇게 편한바지 처음이에요ㅠㅠㅜㅜㅜㅠㅜ 너무좋습니다!!!!!!♡ 처음에만 뻑뻑하지 계속 활동하다보면 장난아니게 편합니다..♡♡♡ 배송이 조금 아쉬웠지만 옷이이쁘니까,,,♡♡ 진짜 이바지는 꼭사세요 안사면 진짜 후회해요 ... 길이도 짧을줄 알았는데 정말 딱맞아요 !!  이바지는 진짜 꼭 사세요ㅠㅠㅠㅜㅠㅠㅠㅜ!!♡
donhj37**|이뻐요오오!!리본이 조굼 쉽게 풀리는게 아쉽지만 겨울빼고 다 입을 수 있을거 같아요!겨울에 입을 치마를 살려고 했지만 아쉽게도 얇네요. 다른걸 또 사야겠어요
donhj37**|바지 살 때마다 골반이 안맞아서 S를 살까,M을 살까 늘 고민을 많이 하는데요. 아무리 스판기가 강해도 바지 27입으시는 분들은 M을 사야 단추가 울지 않을 듯 합니다.
wacin**|예뻐요 :) 키가작은편이ㅣ라 원피스처럼 간단하게 입으니 예뻐요!!! 팔부분이 조금 크긴한데 편하게 입는다 생각해서 괜찮아요!
minji80**|당근하찌 7G니트 후기입니당- 키, 몸무게 161/50-착용사이즈 55일단 제 스펙에 엉덩이 반 쫌 넘게 덮구요 색도 이쁘고 생각했던 것보다 두꺼워서 좋앗는데 너무 구겨져서 와서 기분이 안 좋네요ㅠㅠ니트는 다리지도 못하는데...구김 좀 신경써서 포장해주셨음 좋겠습니다.. 구겨진상태라 그런지 밑단도 안예쁘게 잡히네요., 누가 가위로 막오려놓은 듯이.. 쫙 펴면 예쁜데 구김 때문에 아쉽네요... 구김 좀 신경써 주세요.
kimjh43**|음 다른후기들 보는데 뭐가 좋다는건지 모르겟네요 ㅠ 목부분이 너무 찡기다고해야되나 그렇게 짱짱한편도아니고 쫀득하지도않아요 ㅠㅠ 기장은맘에드는데 목부분에서 걸려서 빼느라 너무힘들엇네요 화장벗겨지는줄.. 그렇게 쫀득하지는않음 ㅠㅠ
thal91**|박시하고 예뻐요 구김도 잘안지고 ㅋㅋ 예쁘네요 스키니에 입어도 예쁠거같애요 사계절내내입기좋을듯하네요 ㅋㅋㅋㅋ
ekalaa**|기본 단가라티 검정색이 필요해시 구매했는데 진짜 재질이 정말좋은거같아요 얇지도않고 지금 입기 딱인듯싶어요ㅎㅎ 오늘 받은 5개 상품중 젤만족스럽습니다
ekalaa**|요즘 이런 벨트를 많이 하고다녀서 구입했는데 생각했던거보다 실버원이 큰감이있다고 생각했는데 막상 착용 해보면 괜찮은거 같네요!!
ekalaa**|네이비색상 브이넥 니트조끼를 사려고했는데 없어서 비슷한 블루색상으로 구입했는데 생각외로 네이비 같기도하면서 블루색상 이쁘더라구요ㅎㅎ
ekalaa**|품절이 되어서 입고를 기다리고 기다려서 크림색상을 샀는데 색상도 맘에들고 카라도 너무이쁘고 팔목쪽 접어입으면 진짜이뻐요!!
ekalaa**|와인색상 치마 갖고싶어서 주문해봤는데 정말이뻐요 평소엔 s사이즈 잘맞는데 이치마는 좀 타이트하긴하더라구요ㅠㅠ 그래도 이뻐요~~~
ja050**|하나 더 구매했어요!! 남녀공용도 돼요 남자친구랑 커플로 샀어요 ㅎㅎㅎㅎㅎ여자가 입으면 박시한 핏이고 남자가 입었을 경우엔 딱 적당한거같아요 길이가 약간 짧다는 느낌 받을수도있는데 옷핏이 되게 예뻐서 커버돼요 ㅋㅋㅋㅋ 추천추천
ja050**|팔 들어도 그렇게 안짧아서 되게 좋아욬ㅋㅋㅋ 처음 딱 옷 입는데 머리부분 딱 들어갈때 끼여서 놀랬어욬ㅋㅋㅋ 일단 면도 싼면이 아니고 보들보들한 편이에요! 편하기도해요! 추천해욯ㅎㅎ
wjdgusdl93**|사진이랑똑같아요!!비록 배송을늦게받았지만 사진이랑똑같아요근데 옷에 뭐가많이묻어서오네요 물론 그거는 따로빼면되지만 그래도 제가 어깨가넓어서그런지 엄청 잘샀다는 생각이 들지는 않네요 ㅜㅜ
ja050**|일단 핏이 딱 부드럽게 떨어지고요! 받았을때 옷에 냄새도 안나고 실밥도 없었어소 되게 기분좋았어요 배송도 빨랐고요! 팔 길이 조금 긴감이 있어서 여리여리해보이고 이색말고 다른색상이랑 다른 옷 추가 구매하려고요! ㅎㅎ
loveevol**|블라우스 필요해서 샀어요~ 무난한 디자인이고 배송빨라서 좋습니다. 그리고 안에 많이 비춰요~ 단촉으로 입으려면 꼭 안에 나시 입고 입어야 되요~ 그정도는...괜찮은거 같아요~ 소매도 한번 접어 입는게 더 에쁘더라구요~ 하늘하늘해서 체형 커버해주고 좋습니다.
loveevol**|일단 배송빨라서 좋아요~! 촉감이 부들부들해서 좋구요 안에 기모는 없어서 지금보다 조금 더 추워지면 못입을듯해요 그래도 그냥 막 입기 편하구요 색깔 분홍색 이뻐요~ 소매도 짱짱하구요 빨리 해지거나 그러지는 않을것같아요~ 길이는 조금 긴데 박시한거 좋아하시는 분들은 괜찮을거예요~
jeongyoo**|처음 옷받고 너무 박시핏이라엄마가 이걸 어떻게 입냐고 반품하라는 소리까지 나왔었어요.푸대자루인줄..벗, 검은 스키니에 입으니깐 너무 이쁘네요엄마도 이쁘다고 했어요보는거와달리 입어보시고 결정하세요~색도 흔치 않아서 더 이쁘네요청바지에도 한번 입어봐야겠어요마음에 들어요~
hamaum**|10월13일 입금&주문 / 10월 16일 배송 / 10월17일 월요일 도착겉에 입을 옷이필요해서 무난하게 항공점퍼시켰는데요 ! 진짜 이쁜거같아요 ㅠㅠ 박시한핏을좋아해서시켰는데 딱 지금입기 좋은 옷인거같고 디자인도 되게이쁘구 .. 맨투맨 위에살짝만 걸쳐도 넘이쁠거같은 옷이에요 잘입고다니겠습니당 ♡♡ 빠른배송감사해요 고고싱!
jeongyoo**|생각보다 길어서...핏이 이쁘게 안나와서 언니줬네요160은 넘어가야 핏이 이쁘게 살아요디자인이며 색감이며 정말 너무 이쁜데키가 작아서그런지 어울리지가 않아요..반품하기 아까워서 언니줍니다.봄,가을에 입으면 이쁠듯 하네요.키작녀들은 비추요
kju94**|완전 오리지널 블랙이네요!!간혹 검은 양말이라도 색이 좀 빠진 것들이 있는데이건 딱 진하고 예쁜 색의 양말이에요!!검은 양말이 필요했었는데 잘 샀어요!!
kju94**|저렴한 가격에 잘 샀어요!!다른 곳에서 비슷한 양말을 샀었는데 너무 얇거나 흐물흐물해서 좀 실망 했는데 이번에도 그럴까봐 걱정했는데생각보다 쫀쫀하고 도톰해서 잘 신을 것 같아요!!
hamaum**|10월 13일 주문&입금/ 10월 16일 배송/ 10월 17일 월요일 도착이 바지 ㅠㅠㅠㅠ 진짜너무좋아요 거짓말안치고 종아리가 너무굵어서 바지잘구매못했는데 딱 눈감고 한번사보자하고샀는데 잘붙고 스판도너무좋고 진짜 레깅스입은거처럼 완전편해요 입었는데도 무거움보단 가볍고 뛰어다녀도 너무편해서 제 인생바지될거같아요 다음에 용돈받으면 진청하나살생각입니당 빠른배송감사드리고 중청은 제가올린사진과같이 딱 똑같아요! 사셔도 후회없으실거에요 잘입겠습니당♡♡
hamaum**|10월13일 목요일 입금&주문 / 10월16일 배송/ 10월17일 월요일 도착총 4일이걸렸네요 ! 저는 카키색을 주문했는데 제가올린사진이랑 똑같아요 조금만 더 밝았으면좋았을텐데 그래도 그렇게 두꺼운기모는아니지만 가을에는 겉옷없이 잘입고다닐수있을거같아요 그리고 생각한만큼 박시하더라구요 자칫해서 잘못입으면 어깨 넓어보일수도있을거같아요ㅠㅠ 그래도 빠른배송감사합니다 !♡ 이쁘게잘입을께요
icm**|옷이 온지 좀 됫는데 후기는 이제올리네요 ㅎㅎㅎ 지금 날씨 많이덥지도 춥지도 않은날씨에 입기 좋구요! 음음 옷이 조금 클줄알았는데 그렇게 많이안크구 제키에서 엉덩이까지내려와서 길이도 만족해요 ㅎㅎㅎ 색도예쁘고 그냥다좋아요 예뻐요!!
sj0926**|포토후기 1등입니다!!!! 고고싱에서 옷사면서 이런날이 올 줄은 몰랐어요!! 오... 신기하네요옷 새로 올라오자마자 너무 예뻐서 고민도 없이 바로샀어요허리가 안조여져서 조금 부해보이긴하지만 그래도 이뻐요 제가 살집이 없는 편이 아닌데 치마 입었을때 상체부분이 넉넉해요핸드폰카메라가 고장나서 뿌옇게 나오고 약간 노랗게 나왔는데 사진보다 선명하고 색이 훨씬 예뻐요! 모델언니가 입은 색과 똑같아요 사진과 색이 같기가 쉽지 않은데 고고싱은 거의 같은것같아요!! 가격에 비해서 옷도 괜찮고 두꺼워서 겨울까지 입을 수 있을것같아요 역시 고고싱!!!♡
unse60**|사진상으로는 되게 박시한 느낌인거 같운데막상 입어보니까 그정도 까진 아니여서 놀랬어욤그래도 이쁩니당 지금같은 날씨에 입기 딱좋움
unse60**|이거 진짜 실물깡패!!사진으로 본거 보다 두배로 맘에 들었습니당^^*근데 팔 길이가 너무 길어서 ㅠㅠ 이거 빼곤 너무 좋아요
unse60**|일단 다른건 다 둘째치고 길이감이 딱 맘에 들어요 ㅠㅠ너무 길지도 않고 짧지도 않고 발목에 딱 맞게 와서다른바지들은 항상 시키면 길이때문에 수선하거나 해야하는데 핏이 진짜 좋은거 같아요!그리고 사이즈 많이 차이나는거 아니면 한치수 작게 시켜도 될거같아요 ㅠㅠ 스판 장난아니라 입다보니 지금 바지가 커졌네욤..
sj0926**|다크그린은 정말 사고싶었던 색이었어요!!사진에선 그렇게 안보였는데 생각보다 품이 커서 좋았어요얇은 하의나 두꺼운 하의 다 잘어울리는것 같아요 그래도 역시 청과 가장 잘 어울리는 것 같기도 해요!! 이번겨울은 고고싱에서 겨울 니트 장만해야겠어요! 가격에 비해 질이 너무 좋아요 제 카메라가 고장나서 약간 뿌옇게 나오는데 색은 화면에 보이는 그대로예요 딱 이쁜 색입니다!
wltn9**|방금 와서 방금 찍어서 올려욧 일단 이 니트는 만능니트 어디에 걸쳐도 어울리고 이 위에 자켓이나 코트나 점퍼를 입어도 너무 잘 어울리고 포근한 느낌을 주는 옷이에요 앞으로 이 니트만 입고 다닐 듯해요 잘 입고 다닐게요 고고싱♡
wltn9**|일단 배송이 나무 느려서 아쉽고 그래도 옷은 예쁘게 와서 좋습니다 그리고 이 옷의 재질은 부드럽지않은 천인듯 아닌 듯한 재질이고 색상은 생각보다 너무 칙칙한 갈색인 것 같아요 그래도 길이는 만족!! 통통한 몸이어도 쏙 들어가고 끼지않아서 좋아요 근데 옷이 조금 구겨져서 와서 좀 그래요 다음에는 구겨진 상태에서 안 왔으면해요ㅠㅠ
angry**|약간 큰 감이 있는데 이뻐요- 키, 몸무게170cm56kg-착용 사이즈 free-착용후느낌은?(좋은점/나쁜점) 다좋아요 배송도 빨리 왓구요.약간 큰사이즈 찾으시는 분들 완전 강추입니다. 제가 170인데도 팔을 두번접어서 입어요. 완전 박시하구요. 잘산거같아요. 청치마랑도 완전 잘어울리네요. 한개만 사서 아쉬운데 나중에 하나 더 살라구요~~ 카키색 정말 이뻐요
khy9709**|생각보다 도툼하고요  아직은  입기에  더울꺼같아요그래서 나중에 입으려고요~~~~앞으로도 이쁜 가디건  많이 팔아주세요~~~
khy9709**|쫀쫀해요   그리고 되게 무난해서 아무데나 입어도 잘어울린거같아요  다음에도  또 사려구요~~잘 입을께요~~~♡♡♡♡♡
charim**|아이보리라서 많이 비칠까봐 걱정했는데 생각보단 아닌 것 같아서 만족합니다 완전 흰색이라기 보다는 딱 예쁜 아이보리 색인 것 같아서 더 마음에 들어용
charim**|저번에 핑크색이랑 인디 블루 사고 너무 좋아서 또 구매했습니다! 기본템으로 검정색으로 주문했는데 배송도 빠르고 옷도 만족합니당!
iso**|아무곳이나 정말 잘어울리는 벨트에요!! 길이감도 딱 적당하고! 반바지 긴바지 치마 모두 잘어울려요~ 데일리로 딱 좋네요
kimjh43**|그냥 딱 가을옷이네요 전혀안두꺼워서 이번겨울엔 껴입는다해도 못입을듯옷도 기장이 다짧아서 불편하기도하고.. 뭐 싼맛에 입어야겟져 키크신분들은 좀불편하실듯 가벼워서 좋긴한데 그냥 딱 제가격인듯해요 고민좀하고살껄 좀후회되네요
iam**|키가 많이 작은편이라 진짜 발만 보일까봐 걱정했는데 그냥 딱 제가 원라는 기장이였아요 ! 소재가 조금 두툼한편이라 날리지도 않고 지금 딱 입기 좋은거 같아요 안에 니트랑 받쳐입어두되구 ㅎㅎ 너무 만족했어요 !
iam**|생각만큼 너무 예뻐요 ㅠㅠ 안에 안감이 들어가서 생각보다 가벼운 느낌도 안들어서 너무 좋아요 ! 화면 보다 조금 진한? 딱 너무 가벼워보이지 않을 정도의 조금 진한 아이보이색이에요 후기 보니까 구겨짐이 심하다구 그래서 다리미 준비하놓고 기다렸는데 붐부기로 충분히 정리할 수 있는 정도에요 붐부기 뿌려놓고 탁탁털어서 걸어놓으면 펴지는 정도? 이런 베이비돌원피스 잘못하면 잠옷같고 실패보기 쉬운데 너무 성공해서 기분좋습니다 ㅎㅎ 입고 나갔을때 다 옷 귀엽다구 그랬어요 ㅎㅎ 제가 키가 많이 작은편이라 키크신분은 조금 짧으 실거같기두해요 옷 너무 만족하고 잘입구있어요 !
josu10**|줄을 당기니까 가슴이 모아지긴하는데 모아지면서 같이 눌려요ㅠㅠ 그래서 그냥 많이 안당기고 일반 브라처럼 입을려구요~ 그래도 어느정도 모이는 효과가 있는거 같아서요. 그리고 굳이 그거 아니더라도 와이어 없어서 편하고 촉감도 괜찮고 18000원에 세트면 가격도 괜찮게 잘 주고 산 거 같아요! 후회하진 않습니당참 제가 밑둘레가 작아서 (60~65) 일반 속옷가게에서는 맞는 사이즈 찾기가 어려운데 이건 70인데 후크를 제일 바깥쪽에 채웠어요. 저야 땡큐지만 다른분들께는 사이즈가 조금 작게 나온듯하니 참고바랍니다~
seoa40**|너무 예뻐요 사진 속에서 보이는것 보다 더 예뻐요!!^___^ 안 샀으면 후회할뻔 했네요. 지금은 아직 날씨가 오전 이랑 저녁때만 춥고 낮에는 더워서 입기 더울것 같아요~ 좀 더 있다가 입고 다닐께요!! 사이즈도 딱 맞고 색깔도 아주 마음에 쏙 들어요!!♡ 고고싱 짱(엄지 척)
wertyuio9**|왜 제가 사고나니 세일?..ㅠ 주륵 근데 옷이넘 예뻐여 색이 완전 새빨갛고뒷면이 이쁜데 뒷면을 못찍어서 뎨동합니다근데 진짜 빨간색 조녜입니다
wertyuio9**|어무나~ 여성스릅다! 생각해서 샀는데역시나 여성스릅지 않은 저에겐 넘나 안어울리는것~!그래더 뭐 이건 옷이아니라 제문제니깐요보들보들합니다
wertyuio9**|찢어진 부분이 보통 무릎이여서 입을수록 찢어지는 부분이 넓어지는 청바지가많은데 이건 적당히 윗쪽이 찢어져서 그럴일은없을 것같아요 쫀쫀해서 편해요
wertyuio9**|일단 허리가 완전 밴딩이에여 핵편함벨트도 찡기지 않고 그냥 치마자체가핵편해요 근데 살짝 부해보인다고해야하나 핏이 막 모델처럼 예쁘진 않아요..!
wertyuio9**|이뿡데 다림질을 하기전이랑 엄청 펑퍼짐하네여ㅠㅠ근데 색은 옅은색이 더 이쁠것같아여일찍 깨달았으면 더 좋았을텐데 키득다음분들은 베이지색 사세여..
wertyuio9**|이뿌다이뻐~~ 겨울다가오니까검정색 무지양말 한개쯤은 있어야겠다싶어서 샀는데 다른색도 몇개 살걸그랬어요 짱쫀쫀함니다 굳굳검은색 강력추천
josu10**|같이 주문한 옷 중에 카키색이 있어서 이거는 베이지색으로 주문해봤어요! 핏도 살짝 루즈하게 나와서 무난하게 잘 입고 다닐 수 있을 것 같아요. 팔이 살짝 긴 편인데 저는 팔 긴거 좋아해서 상관없지만 싫으신 분들은 접어입거나 하시면 될거같아요 가격도 그렇고 전반적으로 괜찮아요~~
